rel_diff,error,is_isomer
0.30710045,0,0
0.57731646,0,0
0.07057752,0,0
0.25236824,1,0
0.28664926,0,0
0.41107488,0,0
0.29643026,0,0
0.008334658,0,1
0.2021768,0,0
0.75448775,0,0
0.19684166,0,0
0.52161926,0,1
1.3040224,0,0
0.708569,0,0
1.022005,0,0
0.09893177,0,1
0.30441645,0,1
0.56480616,0,0
0.12440523,1,0
0.42955932,0,0
0.44706917,0,0
1.5446155,0,0
0.8795455,0,0
2.5956523,0,0
0.04292618,0,0
1.3971016,0,0
0.588857,0,0
1.600629,0,0
0.6860347,0,0
1.7248766,0,0
1.0521092,0,0
0.39108497,0,0
2.5569894,0,0
1.439528,0,0
1.0883839,0,0
0.4407667,0,0
0.13911848,0,0
0.11668672,0,0
0.02055612,0,0
0.7939263,0,0
0.14207971,0,0
0.23397815,0,0
0.33279622,0,0
0.37718573,0,0
0.40646264,0,0
0.22791393,1,0
0.59806764,0,0
0.12517014,1,0
1.3197757,0,0
0.37375423,0,0
0.841871,0,0
0.14305463,1,0
1.0752826,0,0
0.1344308,1,0
0.45855385,0,1
0.2233728,1,0
1.5803434,0,0
0.22882621,1,0
0.51419115,0,0
0.122862376,1,0
0.3288508,0,0
0.67215574,0,1
0.16651338,1,1
0.028382232,1,0
0.35326588,0,0
0.06439741,0,0
0.05151798,0,0
0.67230767,0,0
0.23522723,0,0
1.3630435,0,0
0.58693653,0,0
0.57536227,0,0
0.044188283,1,0
0.70911944,0,0
0.10805295,1,0
0.7907742,0,0
0.34863514,0,0
0.09383629,0,0
1.3376343,0,0
0.6032448,0,0
0.37247473,0,0
0.056117725,0,0
0.3357866,0,0
0.69917196,0,0
0.5528978,0,0
0.17895874,0,0
0.73781043,0,0
0.8776449,0,0
0.14167432,0,0
0.10487584,0,0
0.081876755,0,0
0.23919047,0,0
0.050241496,1,0
0.3523459,0,0
0.5245441,0,0
0.1076357,0,0
0.21046776,1,0
0.3311868,0,0
0.3638645,0,0
0.34130636,0,0
0.043238297,0,1
0.2437903,0,0
0.69578785,0,0
0.23827049,0,0
0.34851003,0,0
0.13947418,0,0
1.5319635,0,0
0.7663243,0,0
0.47240114,0,0
1.0491033,0,0
0.61170113,0,0
0.5921992,0,0
0.10442308,0,0
0.22584017,0,0
0.56059784,0,0
1.4029253,0,0
0.04039854,1,0
0.45011315,0,0
